line_item_id,order_id,order_date,product_id,color,size,quantity,unit_price
L0048,O1038,2025-01-17,P003,Chalk,4X,2,54.0
L0049,O1039,2025-01-18,P008,Chalk,4X,1,22.0
L0050,O1040,2025-01-20,P006,Stone,2X,2,88.0
L0051,O1040,2025-01-20,P002,Onyx,S,1,44.0
L0052,O1041,2025-01-20,P007,Shadow,XL,2,98.0
L0053,O1042,2025-01-22,P006,Pacific,M,1,88.0
L0054,O1043,2025-01-23,P005,Laurel,S,1,20.0
L0055,O1044,2025-01-23,P007,Jungle,L,1,98.0
L0056,O1045,2025-01-23,P002,Chalk,M,2,44.0
L0057,O1046,2025-01-24,P007,Washed Red,L,1,98.0
L0058,O1047,2025-01-25,P003,Obsidian,XL,1,54.0
L0059,O1048,2025-01-28,P005,Loden,3X,2,20.0
L0060,O1049,2025-01-28,P002,Onyx,XL,1,44.0
L0061,O1049,2025-01-28,P004,Damson,XL,1,58.0
L0062,O1050,2025-01-29,P002,Driftwood,S,1,44.0
L0063,O1050,2025-01-29,P006,Pacific,L,1,88.0
L0064,O1051,2025-01-30,P003,Raven,2X,1,54.0
L0065,O1052,2025-01-30,P005,Loden,XL,1,20.0
L0066,O1053,2025-01-31,P008,Onyx,S,3,22.0
L0067,O1054,2025-01-31,P007,Navy,L,1,98.0
L0068,O1055,2025-02-01,P005,Obsidian,S,1,20.0
L0069,O1056,2025-02-01,P002,Onyx,L,1,44.0
L0070,O1057,2025-02-02,P002,Onyx,XL,1,44.0
L0071,O1058,2025-02-02,P003,Chalk,XL,1,54.0
L0072,O1058,2025-02-02,P007,Washed Onyx,L,1,98.0
L0073,O1059,2025-02-02,P006,Stone,L,1,88.0
L0074,O1060,2025-02-03,P008,Jungle,M,1,22.0
L0075,O1061,2025-02-04,P004,Atmosphere,XS,1,58.0
L0076,O1061,2025-02-04,P002,Onyx,M,1,44.0
L0077,O1062,2025-02-04,P003,Obsidian,XS,1,54.0
L0078,O1063,2025-02-05,P003,Raven,2X,1,54.0
L0079,O1064,2025-02-05,P003,Obsidian,2X,1,54.0
L0080,O1065,2025-02-05,P006,Stone,M,1,88.0
L0081,O1066,2025-02-06,P005,Currant,L,1,20.0
L0082,O1067,2025-02-06,P003,Obsidian,2X,1,54.0
L0083,O1068,2025-02-06,P002,Navy,2X,1,44.0
L0084,O1069,2025-02-07,P005,Obsidian,S,2,20.0
L0085,O1070,2025-02-07,P004,Obsidian,L,1,58.0
L0086,O1070,2025-02-07,P002,Chalk,XL,1,44.0
L0087,O1071,2025-02-08,P002,Light Heather Grey,3X,1,44.0
L0088,O1072,2025-02-09,P008,Light Heather Grey,XL,1,22.0
L0089,O1073,2025-02-10,P006,Stone,XS,1,88.0
L0090,O1074,2025-02-11,P002,Stone,XS,1,44.0
L0091,O1075,2025-02-11,P001,Buff,XL,1,48.0
L0092,O1076,2025-02-11,P005,Chalk,XL,1,20.0
L0093,O1077,2025-02-12,P004,Chalk,2X,1,58.0
L0094,O1078,2025-02-13,P002,Navy,2X,1,44.0
L0095,O1079,2025-02-13,P003,Chalk,XL,1,54.0
L0096,O1079,2025-02-13,P004,Atmosphere,2X,1,58.0
L0097,O1080,2025-02-13,P001,Obsidian,3X,1,48.0
L0098,O1081,2025-02-14,P005,Loden,S,2,20.0
L0099,O1082,2025-02-14,P004,Obsidian,M,1,58.0
L0100,O1082,2025-02-14,P002,Driftwood,M,1,44.0
L0101,O1082,2025-02-14,P001,Chalk,M,1,48.0
L0102,O1083,2025-02-14,P002,Light Heather Grey,M,1,44.0
L0103,O1084,2025-02-19,P008,Onyx,L,1,22.0
L0104,O1085,2025-02-20,P002,Navy,S,1,44.0
L0105,O1085,2025-02-20,P005,Gunmetal,XL,1,20.0
L0106,O1086,2025-02-20,P007,Shadow,2X,1,98.0
L0107,O1087,2025-02-21,P004,Atmosphere,L,1,58.0
L0108,O1088,2025-02-21,P005,Obsidian,L,1,20.0
L0109,O1088,2025-02-21,P006,Pacific,M,1,88.0
L0110,O1089,2025-02-21,P003,Raven,L,1,54.0
L0111,O1090,2025-02-22,P005,Laurel,XL,1,20.0
L0112,O1091,2025-02-22,P002,Chalk,XL,1,44.0
L0113,O1092,2025-02-23,P003,Obsidian,L,2,54.0
L0114,O1092,2025-02-23,P005,Obsidian,L,2,20.0
L0115,O1092,2025-02-23,P001,Atmosphere,2X,1,48.0
L0116,O1093,2025-02-23,P005,Obsidian,M,1,20.0
L0117,O1094,2025-02-23,P002,Onyx,XL,2,44.0
L0118,O1094,2025-02-23,P003,Obsidian,XL,1,54.0
L0119,O1095,2025-02-24,P008,Light Heather Grey,XL,2,22.0
L0120,O1095,2025-02-24,P002,Onyx,L,1,44.0
L0121,O1096,2025-02-24,P007,Navy,M,1,98.0
L0122,O1097,2025-02-25,P004,Chalk,M,1,58.0
L0123,O1098,2025-02-26,P003,Atmosphere,L,1,54.0
L0124,O1098,2025-02-26,P006,Pacific,M,1,88.0
L0125,O1099,2025-02-26,P006,Jungle,XL,1,88.0
L0126,O1100,2025-02-27,P003,Obsidian,XL,1,54.0
L0127,O1101,2025-02-27,P006,Stone,XL,2,88.0
L0128,O1101,2025-02-27,P002,Navy,2X,1,44.0
L0129,O1102,2025-02-28,P008,Jungle,XS,3,22.0
L0130,O1103,2025-02-28,P006,Pacific,L,1,88.0
L0131,O1103,2025-02-28,P001,Chalk,S,1,48.0
L0132,O1103,2025-02-28,P002,Light Heather Grey,L,1,44.0
L0133,O1104,2025-03-01,P005,Currant,2X,1,20.0
L0134,O1105,2025-03-01,P005,Gunmetal,2X,1,20.0
L0135,O1105,2025-03-01,P008,Chalk,M,2,22.0
L0136,O1106,2025-03-02,P008,Onyx,XL,1,22.0
L0137,O1107,2025-03-02,P001,Atmosphere,XL,2,48.0
L0138,O1108,2025-03-02,P005,Obsidian,XL,1,20.0
L0139,O1109,2025-03-03,P007,Navy,XS,1,98.0
L0140,O1110,2025-03-04,P001,Obsidian,M,1,48.0
L0141,O1110,2025-03-04,P003,Chalk,S,1,54.0
L0142,O1111,2025-03-05,P003,Raven,S,1,54.0
L0143,O1111,2025-03-05,P008,Light Heather Grey,2X,1,22.0
L0144,O1112,2025-03-05,P001,Washed Red,M,1,48.0
L0145,O1112,2025-03-05,P006,Ash,XL,1,88.0
L0146,O1112,2025-03-05,P002,Chalk,M,1,44.0
L0147,O1113,2025-03-05,P002,Chalk,XL,1,44.0
L0148,O1114,2025-03-06,P001,Buff,M,2,48.0
L0149,O1114,2025-03-06,P003,Raven,L,1,54.0
L0150,O1115,2025-03-06,P007,Navy,L,1,98.0
L0151,O1116,2025-03-06,P001,Obsidian,M,1,48.0
L0152,O1116,2025-03-06,P008,Onyx,S,1,22.0
L0153,O1117,2025-03-06,P007,Light Heather Grey,S,1,98.0
L0154,O1117,2025-03-06,P006,Ash,XL,2,88.0
L0155,O1118,2025-03-06,P005,Chalk,L,1,20.0
L0156,O1118,2025-03-06,P002,Onyx,M,1,44.0
L0157,O1119,2025-03-07,P005,Currant,3X,2,20.0
L0158,O1120,2025-03-07,P001,Washed Red,S,1,48.0
L0159,O1121,2025-03-08,P002,Driftwood,M,1,44.0
L0160,O1122,2025-03-10,P001,Chalk,2X,1,48.0
L0161,O1123,2025-03-10,P003,Obsidian,4X,1,54.0
L0162,O1124,2025-03-10,P008,Jungle,XS,1,22.0
L0163,O1125,2025-03-12,P001,Chalk,M,1,48.0
L0164,O1125,2025-03-12,P002,Onyx,4X,2,44.0
L0165,O1125,2025-03-12,P008,Onyx,XL,1,22.0
L0166,O1126,2025-03-12,P005,Obsidian,M,1,20.0
L0167,O1127,2025-03-12,P002,Light Heather Grey,L,1,44.0
L0168,O1128,2025-03-13,P008,Jungle,M,1,22.0
L0169,O1129,2025-03-14,P005,Currant,L,1,20.0
L0170,O1130,2025-03-15,P005,Obsidian,XL,2,20.0
L0171,O1131,2025-03-15,P002,Navy,M,1,44.0
L0172,O1132,2025-03-17,P007,Washed Onyx,XL,1,98.0
L0173,O1132,2025-03-17,P002,Chalk,S,1,44.0
L0174,O1133,2025-03-17,P002,Light Heather Grey,M,1,44.0
L0175,O1134,2025-03-17,P002,Onyx,M,1,44.0
L0176,O1135,2025-03-18,P008,Onyx,3X,1,22.0
L0177,O1136,2025-03-18,P008,Onyx,L,1,22.0
L0178,O1137,2025-03-19,P008,Light Heather Grey,L,1,22.0
L0179,O1138,2025-03-19,P005,Chalk,L,1,20.0
L0180,O1139,2025-03-19,P002,Navy,4X,1,44.0
L0181,O1140,2025-03-20,P003,Obsidian,L,1,54.0
L0182,O1140,2025-03-20,P007,Light Heather Grey,L,1,98.0
L0183,O1140,2025-03-20,P001,Obsidian,5X,1,48.0
L0184,O1141,2025-03-20,P002,Stone,S,1,44.0
L0185,O1141,2025-03-20,P005,Obsidian,2X,1,20.0
L0186,O1142,2025-03-20,P008,Onyx,XL,1,22.0
L0187,O1142,2025-03-20,P001,Obsidian,L,1,48.0
L0188,O1143,2025-03-21,P001,Chalk,M,1,48.0
L0189,O1143,2025-03-21,P002,Driftwood,XL,1,44.0
L0190,O1144,2025-03-22,P001,Atmosphere,L,2,48.0
L0191,O1145,2025-03-23,P008,Light Heather Grey,XL,1,22.0
L0192,O1146,2025-03-23,P004,Obsidian,M,1,58.0
L0193,O1147,2025-03-23,P005,Obsidian,XL,1,20.0
L0194,O1148,2025-03-23,P008,Onyx,XL,1,22.0
L0195,O1149,2025-03-23,P005,Chalk,L,1,20.0
L0196,O1149,2025-03-23,P003,Obsidian,L,1,54.0
L0197,O1150,2025-03-24,P005,Gunmetal,L,1,20.0
L0198,O1151,2025-03-24,P003,Chalk,L,1,54.0
L0199,O1152,2025-03-25,P006,Pacific,3X,3,88.0
L0200,O1153,2025-03-25,P002,Chalk,2X,1,44.0
L0201,O1153,2025-03-25,P003,Atmosphere,L,1,54.0
L0202,O1154,2025-03-27,P003,Chalk,2X,3,54.0
L0203,O1155,2025-03-28,P003,Raven,XL,2,54.0
L0204,O1155,2025-03-28,P004,Raven,3X,1,58.0
L0205,O1156,2025-03-28,P006,Jungle,XS,1,88.0
L0206,O1157,2025-03-29,P005,Chalk,S,1,20.0
L0207,O1158,2025-03-29,P005,Obsidian,XL,1,20.0
L0208,O1159,2025-03-30,P001,Obsidian,XL,1,48.0
L0209,O1159,2025-03-30,P007,Navy,M,1,98.0
L0210,O1160,2025-03-30,P002,Driftwood,L,1,44.0
L0211,O1160,2025-03-30,P008,Light Heather Grey,XL,1,22.0
L0212,O1160,2025-03-30,P004,Damson,L,1,58.0
L0213,O1161,2025-03-30,P002,Onyx,L,1,44.0
L0214,O1161,2025-03-30,P006,Jungle,M,1,88.0
L0215,O1162,2025-03-31,P004,Chalk,L,2,58.0
L0216,O1163,2025-03-31,P002,Chalk,L,1,44.0
L0217,O1164,2025-03-31,P004,Raven,M,1,58.0
L0218,O1165,2025-04-01,P005,Laurel,L,2,20.0
L0219,O1166,2025-04-01,P002,Stone,M,1,44.0
L0220,O1167,2025-04-01,P008,Chalk,XS,1,22.0
L0221,O1168,2025-04-01,P008,Chalk,XS,1,22.0
L0222,O1169,2025-04-02,P001,Chalk,L,1,48.0
L0223,O1170,2025-04-02,P003,Raven,L,1,54.0
L0224,O1170,2025-04-02,P005,Obsidian,M,1,20.0
L0225,O1171,2025-04-02,P004,Obsidian,XL,1,58.0
L0226,O1172,2025-04-02,P002,Driftwood,M,2,44.0
L0227,O1173,2025-04-03,P003,Obsidian,XS,1,54.0
L0228,O1174,2025-04-03,P001,Washed Red,M,2,48.0
L0229,O1175,2025-04-03,P001,Chalk,XL,1,48.0
L0230,O1176,2025-04-03,P006,Pacific,2X,1,88.0
L0231,O1176,2025-04-03,P007,Light Heather Grey,L,1,98.0
L0232,O1177,2025-04-03,P005,Laurel,M,1,20.0
L0233,O1177,2025-04-03,P003,Obsidian,S,1,54.0
L0234,O1177,2025-04-03,P002,Onyx,L,1,44.0
L0235,O1178,2025-04-03,P008,Chalk,S,1,22.0
L0236,O1178,2025-04-03,P002,Navy,4X,1,44.0
L0237,O1179,2025-04-05,P002,Stone,XL,1,44.0
L0238,O1179,2025-04-05,P006,Jungle,L,1,88.0
L0239,O1180,2025-04-05,P004,Obsidian,3X,1,58.0
L0240,O1181,2025-04-05,P001,Obsidian,S,3,48.0
L0241,O1181,2025-04-05,P006,Pacific,L,1,88.0
L0242,O1182,2025-04-05,P008,Onyx,XL,1,22.0
L0243,O1183,2025-04-06,P003,Obsidian,M,2,54.0
L0244,O1184,2025-04-06,P006,Ash,S,1,88.0
L0245,O1185,2025-04-08,P002,Navy,XL,1,44.0
L0246,O1186,2025-04-08,P003,Chalk,M,1,54.0
L0247,O1187,2025-04-08,P002,Navy,XL,1,44.0
L0248,O1188,2025-04-09,P002,Chalk,L,1,44.0
L0249,O1188,2025-04-09,P006,Pacific,3X,1,88.0
L0250,O1189,2025-04-09,P001,Washed Red,M,1,48.0
L0251,O1190,2025-04-09,P007,Light Heather Grey,M,1,98.0
L0252,O1191,2025-04-10,P003,Chalk,L,1,54.0
L0253,O1192,2025-04-10,P005,Gunmetal,XL,2,20.0
L0254,O1193,2025-04-10,P005,Laurel,4X,1,20.0
L0255,O1194,2025-04-10,P006,Ash,XL,1,88.0
L0256,O1195,2025-04-11,P007,Jungle,2X,1,98.0
L0257,O1196,2025-04-11,P001,Obsidian,XL,1,48.0
L0258,O1196,2025-04-11,P005,Loden,4X,1,20.0
L0259,O1197,2025-04-11,P002,Onyx,M,1,44.0
L0260,O1198,2025-04-12,P007,Navy,L,1,98.0
L0261,O1199,2025-04-12,P008,Onyx,L,1,22.0
L0262,O1199,2025-04-12,P002,Driftwood,M,1,44.0
L0263,O1199,2025-04-12,P005,Obsidian,L,1,20.0
L0264,O1200,2025-04-12,P002,Stone,XL,1,44.0
L0265,O1201,2025-04-12,P001,Chalk,M,1,48.0
L0266,O1201,2025-04-12,P002,Onyx,XL,1,44.0
L0267,O1202,2025-04-13,P001,Obsidian,L,1,48.0
L0268,O1203,2025-04-14,P008,Onyx,4X,1,22.0
L0269,O1204,2025-04-14,P002,Driftwood,L,2,44.0
L0270,O1204,2025-04-14,P008,Onyx,M,1,22.0
L0271,O1205,2025-04-14,P004,Obsidian,XS,1,58.0
L0272,O1206,2025-04-15,P003,Obsidian,L,1,54.0
L0273,O1207,2025-04-15,P004,Obsidian,L,1,58.0
L0274,O1207,2025-04-15,P002,Driftwood,XL,1,44.0
L0275,O1208,2025-04-16,P002,Navy,L,1,44.0
L0276,O1209,2025-04-16,P005,Obsidian,S,1,20.0
L0277,O1210,2025-04-16,P008,Jungle,L,1,22.0
L0278,O1210,2025-04-16,P002,Stone,L,1,44.0
L0279,O1211,2025-04-16,P001,Chalk,L,1,48.0
L0280,O1212,2025-04-16,P005,Gunmetal,XL,1,20.0
L0281,O1213,2025-04-16,P008,Chalk,XL,1,22.0
L0282,O1213,2025-04-16,P001,Washed Red,S,1,48.0
L0283,O1214,2025-04-17,P007,Navy,L,1,98.0
L0284,O1215,2025-04-18,P006,Jungle,4X,1,88.0
L0285,O1215,2025-04-18,P005,Chalk,L,1,20.0
L0286,O1215,2025-04-18,P008,Onyx,L,1,22.0
L0287,O1216,2025-04-18,P008,Jungle,M,1,22.0
L0288,O1217,2025-04-18,P004,Obsidian,L,1,58.0
L0289,O1217,2025-04-18,P008,Jungle,M,1,22.0
L0290,O1218,2025-04-19,P002,Navy,M,1,44.0
L0291,O1218,2025-04-19,P007,Washed Red,M,1,98.0
L0292,O1219,2025-04-19,P002,Stone,XL,3,44.0
L0293,O1219,2025-04-19,P001,Buff,M,1,48.0
L0294,O1220,2025-04-19,P008,Light Heather Grey,L,1,22.0
L0295,O1221,2025-04-19,P002,Driftwood,3X,1,44.0
L0296,O1221,2025-04-19,P001,Chalk,3X,1,48.0
L0297,O1222,2025-04-19,P002,Stone,XL,1,44.0
L0298,O1223,2025-04-20,P008,Jungle,S,1,22.0
L0299,O1223,2025-04-20,P005,Loden,S,1,20.0
L0300,O1224,2025-04-21,P005,Loden,L,1,20.0
L0301,O1224,2025-04-21,P006,Pacific,XL,3,88.0
L0302,O1225,2025-04-21,P002,Stone,L,1,44.0
L0303,O1226,2025-04-21,P002,Light Heather Grey,XS,1,44.0
L0304,O1226,2025-04-21,P008,Chalk,XL,1,22.0
L0305,O1226,2025-04-21,P007,Jungle,S,1,98.0
L0306,O1227,2025-04-24,P001,Obsidian,S,2,48.0
L0307,O1228,2025-04-24,P005,Laurel,3X,3,20.0
L0308,O1228,2025-04-24,P004,Obsidian,M,1,58.0
L0309,O1229,2025-04-25,P002,Light Heather Grey,L,1,44.0
L0310,O1230,2025-04-25,P002,Driftwood,L,1,44.0
L0311,O1230,2025-04-25,P005,Chalk,XS,1,20.0
L0312,O1231,2025-04-26,P005,Chalk,M,1,20.0
L0313,O1232,2025-04-26,P002,Light Heather Grey,L,2,44.0
L0314,O1232,2025-04-26,P005,Laurel,L,1,20.0
L0315,O1233,2025-04-27,P007,Light Heather Grey,L,1,98.0
L0316,O1234,2025-04-27,P008,Chalk,M,1,22.0
L0317,O1234,2025-04-27,P007,Washed Onyx,XL,1,98.0
L0318,O1235,2025-04-27,P004,Obsidian,M,1,58.0
L0319,O1235,2025-04-27,P003,Obsidian,S,1,54.0
L0320,O1236,2025-04-27,P008,Jungle,M,1,22.0
L0321,O1236,2025-04-27,P002,Navy,L,1,44.0
L0322,O1237,2025-04-27,P008,Chalk,M,2,22.0
L0323,O1238,2025-04-30,P004,Atmosphere,L,1,58.0
L0324,O1239,2025-05-01,P002,Onyx,XL,1,44.0
L0325,O1239,2025-05-01,P005,Laurel,L,1,20.0
L0326,O1240,2025-05-02,P003,Raven,L,1,54.0
L0327,O1241,2025-05-02,P002,Chalk,M,1,44.0
L0328,O1242,2025-05-03,P006,Stone,L,2,88.0
L0329,O1242,2025-05-03,P005,Loden,2X,1,20.0
L0330,O1242,2025-05-03,P004,Atmosphere,5X,1,58.0
L0331,O1243,2025-05-03,P005,Oyster,L,1,20.0
L0332,O1243,2025-05-03,P008,Jungle,2X,1,22.0
L0333,O1244,2025-05-04,P004,Obsidian,3X,1,58.0
L0334,O1245,2025-05-04,P006,Stone,L,1,88.0
L0335,O1246,2025-05-05,P008,Jungle,M,1,22.0
L0336,O1246,2025-05-05,P002,Driftwood,M,1,44.0
L0337,O1247,2025-05-05,P003,Raven,XL,1,54.0
L0338,O1248,2025-05-05,P004,Atmosphere,2X,1,58.0
L0339,O1248,2025-05-05,P001,Washed Red,M,1,48.0
L0340,O1249,2025-05-06,P006,Stone,M,1,88.0
L0341,O1249,2025-05-06,P005,Gunmetal,M,3,20.0
L0342,O1250,2025-05-06,P002,Onyx,3X,1,44.0
L0343,O1251,2025-05-06,P002,Navy,M,1,44.0
L0344,O1251,2025-05-06,P008,Jungle,S,1,22.0
L0345,O1252,2025-05-06,P008,Onyx,XS,1,22.0
L0346,O1253,2025-05-06,P007,Washed Onyx,XL,2,98.0
L0347,O1254,2025-05-07,P003,Obsidian,XL,1,54.0
L0348,O1254,2025-05-07,P005,Chalk,M,2,20.0
L0349,O1255,2025-05-07,P007,Navy,XS,1,98.0
L0350,O1256,2025-05-09,P002,Chalk,XL,1,44.0
L0351,O1257,2025-05-10,P001,Obsidian,L,1,48.0
L0352,O1258,2025-05-11,P001,Chalk,XS,3,48.0
L0353,O1258,2025-05-11,P004,Obsidian,XL,2,58.0
L0354,O1258,2025-05-11,P002,Navy,XL,2,44.0
L0355,O1259,2025-05-11,P002,Navy,XL,1,44.0
L0356,O1259,2025-05-11,P008,Chalk,S,1,22.0
L0357,O1260,2025-05-12,P003,Chalk,M,1,54.0
L0358,O1260,2025-05-12,P002,Onyx,XL,1,44.0
L0359,O1261,2025-05-12,P005,Chalk,M,1,20.0
L0360,O1261,2025-05-12,P001,Atmosphere,M,1,48.0
L0361,O1262,2025-05-12,P005,Chalk,XL,1,20.0
L0362,O1263,2025-05-13,P005,Gunmetal,M,1,20.0
L0363,O1264,2025-05-13,P003,Obsidian,M,1,54.0
L0364,O1265,2025-05-13,P005,Currant,L,1,20.0
L0365,O1265,2025-05-13,P008,Jungle,L,1,22.0
L0366,O1266,2025-05-14,P001,Washed Red,L,1,48.0
L0367,O1266,2025-05-14,P002,Light Heather Grey,XL,1,44.0
L0368,O1267,2025-05-15,P005,Laurel,2X,2,20.0
L0369,O1268,2025-05-15,P003,Obsidian,M,1,54.0
L0370,O1269,2025-05-15,P008,Onyx,M,1,22.0
L0371,O1270,2025-05-15,P008,Chalk,XL,1,22.0
L0372,O1271,2025-05-16,P004,Atmosphere,M,1,58.0
L0373,O1271,2025-05-16,P002,Stone,L,1,44.0
L0374,O1272,2025-05-17,P003,Atmosphere,2X,2,54.0
L0375,O1272,2025-05-17,P005,Loden,M,2,20.0
L0376,O1273,2025-05-18,P004,Raven,XL,1,58.0
L0377,O1273,2025-05-18,P001,Washed Red,M,2,48.0
L0378,O1274,2025-05-18,P006,Stone,L,1,88.0
L0379,O1275,2025-05-19,P002,Light Heather Grey,L,1,44.0
L0380,O1276,2025-05-20,P001,Buff,L,1,48.0
L0381,O1277,2025-05-21,P006,Pacific,M,1,88.0
L0382,O1277,2025-05-21,P008,Onyx,M,1,22.0
L0383,O1277,2025-05-21,P005,Chalk,S,1,20.0
L0384,O1278,2025-05-21,P008,Chalk,M,1,22.0
L0385,O1279,2025-05-21,P005,Laurel,XL,1,20.0
L0386,O1280,2025-05-22,P004,Obsidian,L,1,58.0
L0387,O1280,2025-05-22,P001,Chalk,L,1,48.0
L0388,O1281,2025-05-23,P002,Stone,2X,1,44.0
L0389,O1282,2025-05-23,P008,Chalk,XL,1,22.0
L0390,O1283,2025-05-23,P002,Driftwood,M,1,44.0
L0391,O1284,2025-05-23,P008,Onyx,XL,1,22.0
L0392,O1285,2025-05-23,P001,Obsidian,M,1,48.0
L0393,O1286,2025-05-25,P005,Gunmetal,M,1,20.0
L0394,O1287,2025-05-26,P004,Chalk,2X,1,58.0
L0395,O1288,2025-05-27,P007,Washed Onyx,S,1,98.0
L0396,O1289,2025-05-27,P002,Onyx,S,1,44.0
L0397,O1290,2025-05-28,P001,Obsidian,L,1,48.0
L0398,O1290,2025-05-28,P002,Navy,XS,1,44.0
L0399,O1291,2025-05-28,P006,Jungle,XL,1,88.0
L0400,O1291,2025-05-28,P007,Washed Onyx,M,1,98.0
L0401,O1292,2025-05-28,P007,Light Heather Grey,XL,1,98.0
L0402,O1292,2025-05-28,P005,Chalk,L,1,20.0
L0403,O1293,2025-05-29,P004,Obsidian,XL,1,58.0
L0404,O1293,2025-05-29,P006,Stone,XL,1,88.0
L0405,O1294,2025-05-29,P008,Onyx,XL,1,22.0
L0406,O1295,2025-05-29,P005,Gunmetal,XL,1,20.0
L0407,O1296,2025-05-30,P006,Ash,XL,1,88.0
L0408,O1296,2025-05-30,P002,Navy,XL,1,44.0
L0409,O1297,2025-05-30,P003,Atmosphere,2X,1,54.0
L0410,O1298,2025-05-30,P002,Stone,XL,1,44.0
L0411,O1299,2025-05-30,P004,Obsidian,L,1,58.0
L0412,O1299,2025-05-30,P002,Navy,XL,1,44.0
L0413,O1300,2025-05-30,P008,Chalk,S,1,22.0
L0414,O1301,2025-05-31,P008,Chalk,L,1,22.0
L0415,O1301,2025-05-31,P005,Chalk,L,1,20.0
L0416,O1302,2025-05-31,P002,Stone,S,2,44.0
L0417,O1303,2025-05-31,P006,Stone,L,2,88.0
L0418,O1304,2025-06-01,P005,Loden,2X,1,20.0
L0419,O1304,2025-06-01,P001,Obsidian,L,1,48.0
L0420,O1304,2025-06-01,P004,Obsidian,XL,3,58.0
L0421,O1305,2025-06-02,P003,Atmosphere,XL,1,54.0
L0422,O1306,2025-06-03,P003,Obsidian,M,1,54.0
L0423,O1307,2025-06-03,P004,Chalk,S,1,58.0
L0424,O1308,2025-06-03,P001,Obsidian,S,1,48.0
L0425,O1308,2025-06-03,P002,Onyx,2X,1,44.0
L0426,O1309,2025-06-03,P001,Buff,L,1,48.0
L0427,O1310,2025-06-04,P005,Obsidian,2X,1,20.0
L0428,O1311,2025-06-04,P002,Stone,2X,2,44.0
L0429,O1312,2025-06-04,P008,Light Heather Grey,XL,1,22.0
L0430,O1312,2025-06-04,P002,Light Heather Grey,XL,2,44.0
L0431,O1313,2025-06-05,P002,Driftwood,L,2,44.0
L0432,O1314,2025-06-05,P006,Ash,L,1,88.0
L0433,O1314,2025-06-05,P002,Light Heather Grey,XL,2,44.0
L0434,O1315,2025-06-05,P004,Raven,2X,1,58.0
L0435,O1316,2025-06-07,P007,Shadow,S,1,98.0
L0436,O1317,2025-06-07,P004,Raven,L,1,58.0
L0437,O1318,2025-06-07,P007,Washed Onyx,XL,1,98.0
